Dispositivos,Profundidad,Retardo
16,30,333.00
Dispositivos,Profundidad,Retardo
16,10,326.00
Dispositivos,Profundidad,Retardo
16,15,325.00
Dispositivos,Profundidad,Retardo
16,24,330.00
Dispositivos,Profundidad,Retardo
16,8,327.00
Dispositivos,Profundidad,Retardo
16,13,327.00
Dispositivos,Profundidad,Retardo
16,11,328.00
Dispositivos,Profundidad,Retardo
16,21,332.00
Dispositivos,Profundidad,Retardo
16,25,333.00
Dispositivos,Profundidad,Retardo
16,15,325.00
Dispositivos,Profundidad,Retardo
16,24,330.00
Dispositivos,Profundidad,Retardo
16,6,327.00
Dispositivos,Profundidad,Retardo
16,29,331.00
Dispositivos,Profundidad,Retardo
16,19,331.00
Dispositivos,Profundidad,Retardo
16,13,327.00
Dispositivos,Profundidad,Retardo
16,12,328.00
Dispositivos,Profundidad,Retardo
16,16,329.00
Dispositivos,Profundidad,Retardo
16,20,335.00
Dispositivos,Profundidad,Retardo
16,18,331.00
Dispositivos,Profundidad,Retardo
16,21,332.00
Dispositivos,Profundidad,Retardo
16,29,331.00
Dispositivos,Profundidad,Retardo
16,18,331.00
Dispositivos,Profundidad,Retardo
16,11,328.00
Dispositivos,Profundidad,Retardo
16,25,333.00
Dispositivos,Profundidad,Retardo
16,24,330.00
Dispositivos,Profundidad,Retardo
16,17,328.00
Dispositivos,Profundidad,Retardo
16,8,327.00
Dispositivos,Profundidad,Retardo
16,20,335.00
Dispositivos,Profundidad,Retardo
16,7,330.00
Dispositivos,Profundidad,Retardo
16,15,325.00
Dispositivos,Profundidad,Retardo
16,29,331.00
Dispositivos,Profundidad,Retardo
16,26,331.00
Dispositivos,Profundidad,Retardo
16,14,324.00
